Image,Xmin,Ymin,Xmax,Ymax
0070bc09c425,0.068398,0.169961,0.896445,0.837852
0073ba635f31,0.126992,0.166055,0.884727,0.767539
007426cfd486,0.111367,0.248086,0.904258,0.841758
007a2e8a802c,0.087930,0.251992,0.884727,0.716758
007a684ef247,0.181680,0.193398,0.857383,0.798789
007ad834a360,0.126992,0.259805,0.884727,0.763633
007d20315fca,0.087930,0.169961,0.962852,0.798789
007d981e6985,0.177773,0.240273,0.865195,0.798789
007fa4f28976,0.084023,0.212930,0.908164,0.841758
0081c147f051,0.166055,0.224648,0.845664,0.783164
008225bd2392,0.060586,0.169961,0.943320,0.845664
00845e79a6b2,0.095742,0.162148,0.912070,0.794883
0085417ee34c,0.169961,0.158242,0.873008,0.865195
0086c58bd963,0.091836,0.193398,0.849570,0.771445
008768b7025f,0.142617,0.232461,0.806602,0.830039
008810cac136,0.130898,0.248086,0.896445,0.794883
008841f22e64,0.060586,0.115273,0.919883,0.771445
008906002d78,0.146523,0.279336,0.853477,0.771445
008abccbec09,0.205117,0.283242,0.833945,0.744102
008bd07af2b3,0.166055,0.291055,0.810508,0.818320
008d6d30e2ff,0.091836,0.189492,0.912070,0.755820
008f31c67f7d,0.146523,0.240273,0.873008,0.724570
0090b38fc39f,0.193398,0.326211,0.810508,0.775352
0091e967c98e,0.212930,0.334023,0.810508,0.767539
0095b8e80c72,0.123086,0.251992,0.896445,0.783164
0099e624525e,0.068398,0.158242,0.904258,0.794883
009e146e2cdf,0.185586,0.271523,0.814414,0.787070
00a0ca680c56,0.126992,0.173867,0.919883,0.767539
00a8934739f2,0.126992,0.240273,0.865195,0.767539
00a9e5a34c93,0.123086,0.298867,0.880820,0.849570
00ac086e20ee,0.162148,0.259805,0.837852,0.818320
00acb415470c,0.185586,0.185586,0.837852,0.798789
00ae9bd62575,0.052773,0.162148,0.884727,0.787070
00af2e80146a,0.138711,0.216836,0.790977,0.712852
00b2b369b73a,0.080117,0.209023,0.939414,0.787070
00b2c42b8cd5,0.240273,0.259805,0.779258,0.716758
00b487aee761,0.099648,0.169961,0.853477,0.806602
00bc2e1d2f18,0.193398,0.205117,0.833945,0.720664
00bfe3a0b167,0.212930,0.279336,0.818320,0.732383
00c1b102edb0,0.130898,0.209023,0.857383,0.712852
00c341b25199,0.037148,0.236367,0.939414,0.716758
00c7e5d70f3c,0.185586,0.275430,0.826133,0.740195
00c80c829925,0.107461,0.154336,0.935508,0.755820
00cc37a2dc06,0.138711,0.228555,0.876914,0.779258
00cd1fc76e93,0.154336,0.267617,0.857383,0.767539
00cdf9747254,0.060586,0.244180,0.833945,0.837852
00d1df9967f0,0.111367,0.209023,0.892539,0.728477
00d3107b3567,0.076211,0.197305,0.935508,0.826133
00d50ae047fe,0.197305,0.279336,0.802695,0.728477
00da12c66f6d,0.076211,0.228555,0.919883,0.826133
00dd5cb16898,0.130898,0.275430,0.900352,0.740195
00df07c26228,0.091836,0.201211,0.927695,0.861289
00e0140ba8db,0.044961,0.279336,0.927695,0.927695
00e167cdf88d,0.107461,0.126992,0.900352,0.763633
00e49025ea3c,0.123086,0.181680,0.880820,0.763633
00e8b5af3c2b,0.158242,0.271523,0.849570,0.810508
00eb3bf7e28b,0.095742,0.169961,0.900352,0.708945
00eb5f428356,0.138711,0.275430,0.892539,0.787070
00ef28a59ddb,0.138711,0.224648,0.912070,0.775352
00f7f5b1c112,0.162148,0.361367,0.865195,0.802695
00fb4dca8ab5,0.162148,0.259805,0.833945,0.787070
00fca4b5d49b,0.123086,0.248086,0.888633,0.767539
00fcb95a3306,0.189492,0.298867,0.771445,0.837852
00fdca879680,0.162148,0.232461,0.865195,0.865195
00fe7cf87cb7,0.130898,0.166055,0.845664,0.712852
0100cb95d45f,0.111367,0.306680,0.896445,0.787070
0104123ee291,0.111367,0.205117,0.880820,0.857383
010467be471b,0.064492,0.209023,0.951133,0.759727
01051b411d87,0.138711,0.216836,0.892539,0.759727
0105a087f5bb,0.130898,0.267617,0.892539,0.857383
0108fa25c388,0.064492,0.099648,0.939414,0.837852
0109fd555bdb,0.123086,0.185586,0.892539,0.775352
010a845f0e62,0.080117,0.099648,0.978477,0.685508
010ad8f49d34,0.095742,0.189492,0.958945,0.779258
010c18bd9d11,0.091836,0.228555,0.915977,0.865195
010d51310a56,0.146523,0.248086,0.857383,0.779258
010dd4f3cd0e,0.099648,0.189492,0.900352,0.775352
010eb010bc0b,0.138711,0.240273,0.900352,0.744102
010f5b30ce37,0.173867,0.271523,0.892539,0.736289
010ff9cb37b5,0.138711,0.169961,0.865195,0.736289
011114205b45,0.197305,0.345742,0.814414,0.716758
0117072515c3,0.193398,0.267617,0.837852,0.744102
01199cc80c76,0.115273,0.209023,0.826133,0.759727
011a0bef21ed,0.185586,0.209023,0.880820,0.720664
011b5beb6afe,0.130898,0.193398,0.900352,0.771445
011fc13765c8,0.107461,0.236367,0.892539,0.763633
011fedd99e45,0.119180,0.197305,0.869102,0.712852
0120bd605b3d,0.123086,0.232461,0.974570,0.822227
0120c928c069,0.166055,0.197305,0.845664,0.728477
012652b356f1,0.166055,0.275430,0.869102,0.806602
01279c690f77,0.130898,0.162148,0.892539,0.767539
01291add461a,0.119180,0.205117,0.915977,0.751914
01293e7edc00,0.072305,0.193398,0.931602,0.833945
0129449408ff,0.119180,0.236367,0.919883,0.806602
0129e7ba55d1,0.068398,0.212930,0.947227,0.841758
012a1073ebb9,0.154336,0.201211,0.935508,0.857383
012a87e3044b,0.091836,0.201211,0.904258,0.833945
012b8727db40,0.103555,0.185586,0.915977,0.798789
012ceb0103c2,0.099648,0.306680,0.873008,0.833945
013021c1ed3c,0.080117,0.173867,0.951133,0.873008
01309daa4f18,0.107461,0.158242,0.935508,0.802695
0131f12c337b,0.154336,0.283242,0.888633,0.787070
0132721839cd,0.087930,0.212930,0.927695,0.775352
0134f9eac394,0.115273,0.193398,0.869102,0.767539
013617b48b2e,0.091836,0.275430,0.939414,0.826133
013838d7c4b2,0.154336,0.263711,0.912070,0.763633
01398345c02b,0.154336,0.255898,0.869102,0.794883
013985eccdaf,0.146523,0.263711,0.853477,0.748008
013ebade1ac9,0.185586,0.197305,0.841758,0.845664
01403ef65de3,0.111367,0.275430,0.841758,0.744102
01494ffb202b,0.052773,0.275430,0.962852,0.822227
0149d19fa379,0.115273,0.244180,0.876914,0.748008
014c909c1797,0.162148,0.279336,0.857383,0.798789
014da96acca1,0.150430,0.158242,0.876914,0.841758
014dc3b324a6,0.142617,0.236367,0.849570,0.826133
01505271c30d,0.158242,0.236367,0.865195,0.900352
015128ba4c84,0.091836,0.212930,0.900352,0.798789
0158e0c6e165,0.138711,0.267617,0.849570,0.806602
015b17c9585b,0.126992,0.244180,0.908164,0.806602
015cc2e041ed,0.162148,0.314492,0.775352,0.845664
015d0e45cc8a,0.169961,0.283242,0.892539,0.790977
016202146880,0.193398,0.212930,0.779258,0.708945
01620ce3681a,0.173867,0.244180,0.818320,0.759727
01643ca6a294,0.107461,0.236367,0.900352,0.837852
016595c31250,0.205117,0.306680,0.818320,0.744102
016608ff3502,0.158242,0.220742,0.841758,0.712852
0166f395d326,0.087930,0.205117,0.904258,0.779258
0168641feb2d,0.064492,0.232461,0.888633,0.861289
0169008ff914,0.076211,0.154336,0.931602,0.787070
016cd9470594,0.209023,0.306680,0.783164,0.775352
01706d884085,0.162148,0.232461,0.861289,0.732383
01710e65c50b,0.107461,0.177773,0.912070,0.751914
0172d3c0d457,0.072305,0.119180,0.955039,0.736289
017653e5d39f,0.103555,0.185586,0.896445,0.869102
017796abfa35,0.068398,0.177773,0.935508,0.767539
0180c47b936c,0.134805,0.212930,0.908164,0.869102
0182897a5324,0.126992,0.185586,0.927695,0.806602
018639ec9d42,0.142617,0.298867,0.896445,0.861289
01884e246c14,0.251992,0.271523,0.775352,0.720664
018b3a1a5a6f,0.115273,0.220742,0.865195,0.810508
018d8d1859aa,0.091836,0.232461,0.880820,0.720664
018fcfb9a698,0.084023,0.177773,0.861289,0.755820
0196ea52e2a2,0.130898,0.158242,0.876914,0.685508
01978d8dec35,0.154336,0.294961,0.837852,0.673789
019d6c58fdab,0.126992,0.240273,0.912070,0.751914
019eb8dc058f,0.111367,0.216836,0.923789,0.810508
019efceb4b2e,0.158242,0.259805,0.755820,0.767539
01a14ad248e3,0.173867,0.244180,0.826133,0.771445
01a1b9f28ec3,0.142617,0.205117,0.904258,0.712852
01a2249f249a,0.025430,0.251992,0.998008,0.814414
01a41e40a20d,0.064492,0.181680,0.931602,0.822227
01a5a5495385,0.138711,0.236367,0.869102,0.794883
01a5e86d68a7,0.126992,0.220742,0.908164,0.744102
01a5f33bd198,0.138711,0.287148,0.912070,0.818320
01a6eb83f2b4,0.205117,0.416055,0.845664,0.923789
01ab41d166bd,0.130898,0.177773,0.884727,0.712852
01afda7ae3cd,0.064492,0.181680,0.935508,0.849570
01afe06551e2,0.185586,0.267617,0.876914,0.771445
01b0c485b9b6,0.076211,0.232461,0.873008,0.787070
01b1a5cb9e4f,0.134805,0.248086,0.810508,0.822227
01b4b16000e3,0.084023,0.283242,0.884727,0.908164
01bd4a3be8e2,0.154336,0.271523,0.880820,0.794883
01bfaf94d23e,0.150430,0.201211,0.865195,0.830039
01c2cbbb5810,0.099648,0.169961,0.935508,0.794883
01c3dce78249,0.087930,0.205117,0.908164,0.794883
01c4e894d079,0.150430,0.197305,0.861289,0.708945
01c53f905efa,0.115273,0.197305,0.923789,0.783164
01c7ec7e0973,0.095742,0.240273,0.931602,0.833945
01ccfc47a9e7,0.146523,0.142617,0.935508,0.802695
01cfc99f3841,0.095742,0.275430,0.908164,0.732383
01d3e6b9ddce,0.025430,0.271523,0.939414,0.775352
01d91382fae9,0.072305,0.189492,0.955039,0.837852
01d9c2b93604,0.087930,0.169961,0.958945,0.861289
01d9cc33dc94,0.126992,0.240273,0.892539,0.771445
01da4eb3ee7f,0.130898,0.197305,0.931602,0.790977
01dafba02a05,0.138711,0.138711,0.900352,0.732383
01db0d4e592b,0.166055,0.224648,0.857383,0.654258
01dba81c3b21,0.087930,0.146523,0.915977,0.810508
01dbc055dc28,0.173867,0.318398,0.857383,0.892539
01dc4b68f500,0.142617,0.267617,0.873008,0.790977
01dc558cad62,0.084023,0.134805,0.955039,0.861289
01dd5ee48b66,0.119180,0.248086,0.830039,0.790977
01df33944f55,0.162148,0.205117,0.876914,0.802695
01e1b689fe1d,0.103555,0.150430,0.884727,0.900352
01e2eafb1be5,0.185586,0.287148,0.853477,0.779258
01e46eb0b33c,0.099648,0.236367,0.915977,0.923789
01e5a8bb692d,0.146523,0.279336,0.833945,0.798789
01e604f0a038,0.103555,0.236367,0.892539,0.790977
01ea1c585af5,0.173867,0.189492,0.830039,0.763633
01ea6d056765,0.201211,0.220742,0.837852,0.755820
01ecc9673633,0.021523,0.173867,0.974570,0.751914
01ef567d74aa,0.072305,0.251992,0.873008,0.794883
01f137288f5f,0.181680,0.162148,0.869102,0.740195
01f1bf9fd89b,0.154336,0.291055,0.873008,0.826133
01f1e67a7fd4,0.095742,0.236367,0.923789,0.779258
01f919045e6b,0.111367,0.224648,0.888633,0.779258
02075fd8e298,0.115273,0.255898,0.923789,0.822227
0213214fdbba,0.103555,0.251992,0.912070,0.798789
0214baf5ebcd,0.166055,0.267617,0.841758,0.744102
02151a9c7e8f,0.064492,0.150430,0.939414,0.794883
0215c1f9c1bc,0.209023,0.310586,0.830039,0.814414
02175e8f1d8e,0.115273,0.212930,0.865195,0.708945
021a81dc5d0d,0.158242,0.404336,0.919883,0.798789
02211a13010c,0.111367,0.115273,0.876914,0.701133
022d9f7a3232,0.068398,0.084023,0.966758,0.744102
022fad0a0e67,0.138711,0.193398,0.822227,0.861289
0231c949e7a3,0.064492,0.185586,0.947227,0.787070
023281c1fa61,0.158242,0.302773,0.853477,0.826133
0236ddc2efb5,0.142617,0.236367,0.849570,0.806602
0237f110a9d3,0.099648,0.220742,0.876914,0.830039
023a696b8495,0.095742,0.189492,0.908164,0.790977
023cb3f3d0a6,0.189492,0.142617,0.861289,0.802695
0241eb8c7041,0.080117,0.064492,0.915977,0.755820
02421506035c,0.166055,0.236367,0.880820,0.853477
0242e3d7fad5,0.142617,0.209023,0.865195,0.779258
024312a071c1,0.154336,0.267617,0.880820,0.833945
02472ac62950,0.119180,0.205117,0.915977,0.783164
02502bf7ce3b,0.220742,0.271523,0.876914,0.787070
025308c5a73f,0.169961,0.291055,0.841758,0.748008
025360d504ad,0.033242,0.037148,0.990195,0.841758
0253d37f7f2c,0.052773,0.119180,0.927695,0.744102
02543a18b512,0.107461,0.209023,0.939414,0.818320
025604994975,0.173867,0.181680,0.861289,0.806602
02564debeb50,0.134805,0.232461,0.912070,0.794883
025786ec6758,0.126992,0.248086,0.892539,0.787070
0258a3b2f843,0.224648,0.248086,0.841758,0.751914
025cceb136ef,0.220742,0.318398,0.826133,0.814414
0267493c7c3f,0.169961,0.197305,0.900352,0.802695
02686967ec56,0.158242,0.138711,0.880820,0.736289
0268a7805b3f,0.107461,0.294961,0.908164,0.876914
0270d02569b0,0.169961,0.341836,0.849570,0.884727
02737efa3cac,0.099648,0.205117,0.900352,0.814414
0274015f9330,0.123086,0.107461,0.896445,0.790977
027505fed6f3,0.150430,0.279336,0.853477,0.771445
027721fa8365,0.084023,0.154336,0.912070,0.748008
0279022d3f81,0.158242,0.224648,0.869102,0.724570
027b4fa54ba6,0.134805,0.298867,0.849570,0.818320
0280c0c5e20a,0.150430,0.248086,0.790977,0.740195
028196a5bff5,0.091836,0.041055,0.947227,0.759727
0287dd3445ef,0.126992,0.224648,0.908164,0.833945
02885ef8b3b3,0.177773,0.291055,0.845664,0.794883
028a6a7e2368,0.166055,0.263711,0.837852,0.802695
028a8ecc98ab,0.103555,0.228555,0.908164,0.767539
028ac67a8a8e,0.162148,0.279336,0.814414,0.767539
028c2d8b563d,0.169961,0.334023,0.865195,0.822227
02938f2e7b9c,0.146523,0.177773,0.876914,0.798789
0294edcbae5d,0.193398,0.353555,0.837852,0.763633
0299b4e23808,0.150430,0.236367,0.884727,0.802695
029bd37eaa66,0.130898,0.048867,0.923789,0.716758
029bf02590e9,0.134805,0.263711,0.861289,0.790977
029db8c2f771,0.111367,0.123086,0.908164,0.779258
029fa3405f44,0.185586,0.314492,0.833945,0.783164
02a2aa45f370,0.107461,0.193398,0.892539,0.779258
02a5c4e1917c,0.134805,0.224648,0.861289,0.744102
02b20fa77d7d,0.173867,0.318398,0.833945,0.888633
02b7dfbc6447,0.150430,0.255898,0.884727,0.794883
02be4b5b59f4,0.111367,0.150430,0.849570,0.673789
02be5ce1fcc0,0.185586,0.330117,0.857383,0.833945
02bf2e2e91f7,0.111367,0.248086,0.876914,0.798789
02c40ebb8a3b,0.111367,0.287148,0.830039,0.748008
02c4dccb5b62,0.162148,0.181680,0.865195,0.790977
02c648877f19,0.103555,0.185586,0.915977,0.783164
02ca0e60d21c,0.111367,0.216836,0.931602,0.865195
02caad057601,0.205117,0.244180,0.869102,0.904258
02cc0296ce0d,0.162148,0.228555,0.857383,0.732383
02cc477de4e1,0.115273,0.201211,0.931602,0.865195
02cccacc216b,0.060586,0.181680,0.951133,0.814414
02cd7bdeedf8,0.166055,0.212930,0.802695,0.736289
02cf99fbae61,0.091836,0.126992,0.947227,0.763633
02d2d9ba3577,0.146523,0.209023,0.845664,0.728477
02d2dcf94e02,0.126992,0.169961,0.892539,0.771445
02d3eccf0f3d,0.115273,0.232461,0.939414,0.837852
02d46816f1ca,0.095742,0.189492,0.896445,0.826133
02d7b0ae7663,0.123086,0.189492,0.931602,0.822227
02dabded4bf4,0.123086,0.154336,0.896445,0.755820
02de2c676497,0.130898,0.240273,0.822227,0.755820
02e0dead2353,0.189492,0.201211,0.853477,0.751914
02f12f578cb8,0.107461,0.142617,0.923789,0.814414
02f518900a92,0.084023,0.126992,0.912070,0.728477
02f63e7441f8,0.084023,0.197305,0.927695,0.818320
02f7f3e422f3,0.162148,0.263711,0.892539,0.763633
02f82fd4c828,0.138711,0.353555,0.857383,0.853477
02f8536e37fd,0.115273,0.162148,0.884727,0.720664
02fc311a0c1f,0.134805,0.224648,0.853477,0.771445
02fe7d900a9f,0.130898,0.212930,0.876914,0.744102
0304f2775bed,0.072305,0.248086,0.919883,0.830039
03056a2b04c2,0.177773,0.291055,0.857383,0.802695
03074d84878a,0.154336,0.240273,0.837852,0.767539
030a57f3f496,0.107461,0.099648,0.880820,0.681602
030ca410a123,0.072305,0.029336,0.927695,0.701133
030de76b5635,0.111367,0.216836,0.947227,0.810508
0311bb244061,0.130898,0.216836,0.915977,0.810508
03152cee2167,0.103555,0.169961,0.923789,0.783164
031589a0e869,0.072305,0.181680,0.951133,0.814414
03162467107d,0.119180,0.209023,0.896445,0.759727
0317acc009a7,0.115273,0.162148,0.935508,0.802695
0317bd130444,0.142617,0.259805,0.830039,0.751914
031f8f46de59,0.126992,0.107461,0.892539,0.783164
03222f66e94f,0.138711,0.236367,0.912070,0.794883
03223aaec564,0.044961,0.173867,0.923789,0.904258
0330909adf1b,0.181680,0.173867,0.826133,0.677695
03359c74cf0f,0.166055,0.185586,0.876914,0.662070
0335be560ce7,0.115273,0.197305,0.865195,0.833945
033768886bd7,0.060586,0.173867,0.923789,0.763633
03386729898d,0.084023,0.212930,0.888633,0.775352
0339a1de3c08,0.091836,0.240273,0.935508,0.794883
033d73cdb4f1,0.126992,0.189492,0.880820,0.732383
033f05c32514,0.205117,0.240273,0.876914,0.763633
03464bd946d6,0.115273,0.205117,0.884727,0.771445
0347f13fcd10,0.201211,0.357461,0.845664,0.865195
034b95b6a3b1,0.134805,0.232461,0.884727,0.755820
034e997eb07f,0.154336,0.185586,0.880820,0.826133
03534905fab9,0.134805,0.251992,0.865195,0.701133
0353bf89bdd1,0.111367,0.025430,0.861289,0.775352
03588d4aa3be,0.197305,0.162148,0.826133,0.873008
035c20715bd1,0.173867,0.337930,0.822227,0.767539
035d2a27eb24,0.138711,0.251992,0.880820,0.794883
035d701fb2e1,0.033242,0.240273,0.931602,0.810508
035e0cd2d0fb,0.166055,0.205117,0.837852,0.724570
0360506fc165,0.154336,0.154336,0.869102,0.716758
0360f029a03d,0.099648,0.197305,0.923789,0.783164
036710b5977d,0.146523,0.259805,0.935508,0.865195
036773dcdab1,0.119180,0.287148,0.884727,0.763633
036884521748,0.033242,0.255898,0.998008,0.833945
03690aa7cc8b,0.029336,0.228555,0.974570,0.837852
036990470f46,0.166055,0.275430,0.833945,0.884727
036ae6e956bf,0.080117,0.224648,0.904258,0.853477
036e753cdfbb,0.169961,0.205117,0.790977,0.748008
036ecc203b2b,0.150430,0.275430,0.857383,0.818320
03770c5cd260,0.111367,0.228555,0.896445,0.830039
037a99e832de,0.056680,0.115273,0.955039,0.830039
037c94f5dd6b,0.056680,0.138711,0.955039,0.822227
037f71d3367e,0.150430,0.209023,0.865195,0.740195
038018c5851e,0.107461,0.201211,0.915977,0.837852
0380710eb5a5,0.076211,0.060586,0.892539,0.740195
03831df388c3,0.134805,0.240273,0.900352,0.876914
0386e9e3f991,0.060586,0.169961,0.919883,0.759727
038b56c4dcf2,0.134805,0.228555,0.939414,0.771445
038defb0a782,0.068398,0.240273,0.943320,0.736289
038fae13735c,0.146523,0.259805,0.861289,0.837852
0390ee2649a5,0.123086,0.209023,0.884727,0.798789
03919a6bde27,0.150430,0.216836,0.880820,0.857383
0393b56c392c,0.142617,0.197305,0.927695,0.736289
03954a3a0b95,0.099648,0.193398,0.915977,0.783164
03956ffb3ccd,0.185586,0.154336,0.833945,0.751914
039664a076f3,0.126992,0.244180,0.908164,0.783164
0396c547ab37,0.091836,0.177773,0.896445,0.787070
0397c8e6cea9,0.076211,0.220742,0.927695,0.833945
039839e6d3e5,0.080117,0.240273,0.912070,0.751914
03987ba1ebc0,0.037148,0.244180,0.970664,0.853477
03990348799e,0.138711,0.275430,0.892539,0.736289
039c61ba524c,0.111367,0.205117,0.904258,0.775352
039d62f37695,0.107461,0.138711,0.876914,0.736289
039dd0bd3306,0.150430,0.244180,0.880820,0.783164
03a36b3e9e28,0.091836,0.263711,0.919883,0.896445
03a5024dad5b,0.154336,0.169961,0.861289,0.790977
03a76ad80910,0.158242,0.263711,0.900352,0.783164
03a85b51763c,0.091836,0.232461,0.908164,0.755820
03a8791569eb,0.166055,0.228555,0.849570,0.716758
03a9ae913306,0.119180,0.255898,0.908164,0.794883
03a9b1685ec8,0.134805,0.244180,0.876914,0.841758
03a9bc706872,0.080117,0.154336,0.939414,0.712852
03acebe0f0b7,0.177773,0.294961,0.861289,0.787070
03b1cc137692,0.099648,0.220742,0.915977,0.724570
03b335387959,0.212930,0.353555,0.806602,0.712852
03b339afb83d,0.130898,0.224648,0.888633,0.806602
03b602448132,0.154336,0.212930,0.853477,0.794883
03b6e08cd732,0.162148,0.244180,0.884727,0.771445
03b8861a60f5,0.115273,0.177773,0.912070,0.790977
03b90ed4d779,0.099648,0.209023,0.904258,0.759727
03b9c9d442b7,0.189492,0.271523,0.826133,0.740195
03b9cd4d9673,0.107461,0.181680,0.919883,0.802695
03bab5fc7be9,0.103555,0.205117,0.853477,0.724570
03be4b1153f9,0.185586,0.232461,0.880820,0.787070
03c39200f472,0.107461,0.177773,0.869102,0.884727
03c4d4f831ad,0.123086,0.228555,0.896445,0.744102
03c80939095f,0.076211,0.064492,0.958945,0.849570
03c86f21fc46,0.169961,0.326211,0.845664,0.841758
03c96c3a0ae1,0.255898,0.314492,0.806602,0.701133
03cc012d98d1,0.052773,0.201211,0.947227,0.771445
03d0cda726f1,0.271523,0.267617,0.869102,0.759727
03d639f99d50,0.091836,0.142617,0.943320,0.720664
03d7328736df,0.107461,0.169961,0.931602,0.783164
03d965288107,0.189492,0.244180,0.865195,0.798789
03dca813cbff,0.103555,0.154336,0.927695,0.798789
03e0369ac0d7,0.048867,0.099648,0.931602,0.810508
03e15fdc1cea,0.091836,0.130898,0.939414,0.751914
03e164218158,0.084023,0.228555,0.955039,0.833945
03e7ad156797,0.154336,0.255898,0.888633,0.787070
03e86e00816f,0.126992,0.107461,0.880820,0.744102
03e9c5dd857e,0.158242,0.271523,0.826133,0.767539
03e9d73e24fb,0.080117,0.181680,0.935508,0.810508
03ec86e2d90c,0.173867,0.212930,0.849570,0.716758
03ecfb7f1cf2,0.044961,0.193398,0.943320,0.751914
03efe78d9b61,0.134805,0.205117,0.915977,0.798789
03f3fdce56f4,0.091836,0.130898,0.943320,0.822227
03f58aab176b,0.084023,0.205117,0.931602,0.728477
03f5af54dacb,0.064492,0.150430,0.923789,0.806602
03f647e78a44,0.154336,0.212930,0.849570,0.759727
03f6511ae20b,0.126992,0.232461,0.900352,0.810508
03fabb852a45,0.103555,0.166055,0.923789,0.751914
03fdc683ef2b,0.138711,0.310586,0.892539,0.790977
0404a1318009,0.087930,0.212930,0.919883,0.814414
040742900be7,0.150430,0.236367,0.927695,0.873008
040b06c129ba,0.177773,0.330117,0.857383,0.708945
040f673039ed,0.123086,0.142617,0.837852,0.673789
04134f09fe9f,0.103555,0.216836,0.908164,0.814414
0413b0232492,0.130898,0.275430,0.865195,0.787070
0417965027cc,0.087930,0.220742,0.912070,0.783164
0417bb75fd3d,0.041055,0.251992,0.951133,0.783164
0418b8f24efe,0.134805,0.228555,0.892539,0.810508
0419ae60acbb,0.201211,0.302773,0.802695,0.736289
041b40bf9415,0.146523,0.251992,0.869102,0.790977
041ce77f3f94,0.087930,0.130898,0.951133,0.857383
041f5b836af1,0.130898,0.236367,0.888633,0.744102
0420fd29e0b6,0.087930,0.119180,0.935508,0.783164
0421ec3de183,0.068398,0.142617,0.951133,0.767539
04234f3c348a,0.193398,0.251992,0.869102,0.779258
04245450ca1f,0.138711,0.224648,0.861289,0.740195
0425d4716520,0.126992,0.158242,0.915977,0.876914
04291282d010,0.130898,0.197305,0.873008,0.787070
042ce9a76738,0.099648,0.138711,0.919883,0.833945
042cfe67c73c,0.084023,0.158242,0.927695,0.763633
042cfe874c13,0.158242,0.294961,0.845664,0.798789
0430e65e2151,0.209023,0.244180,0.822227,0.716758
0432e09635c5,0.119180,0.298867,0.822227,0.841758
0433269c257c,0.126992,0.193398,0.939414,0.810508
043451e7d09e,0.111367,0.236367,0.896445,0.732383
043a07917d61,0.119180,0.193398,0.880820,0.748008
043bed04fb2b,0.146523,0.162148,0.915977,0.783164
043d9c9a85c0,0.181680,0.255898,0.853477,0.677695
043fc5ceaa78,0.076211,0.197305,0.904258,0.783164
0448cc6178b3,0.123086,0.138711,0.931602,0.771445
044a2902d376,0.130898,0.306680,0.845664,0.830039
044bba542e38,0.123086,0.236367,0.845664,0.759727
044c7067f66d,0.123086,0.251992,0.853477,0.822227
04524dfcf799,0.029336,0.240273,0.790977,0.794883
